series,title,volume
Harry Potter,Harry Potter and the Sorcerer's Stone,1
Harry Potter,Harry Potter and the Chamber of Secrets,2
Harry Potter,Harry Potter and the Prisoner of Azkaban,3
Harry Potter,Harry Potter and the Goblet of Fire,4
Harry Potter,Harry Potter and the Deathly Hallows,7
Harry Potter,Harry Potter and the Half-Blood Prince,6
Harry Potter,Harry Potter and the Order of the Phoenix,5
A Song of Ice and Fire,A Game of Thrones,1
The Lord of the Rings,The Fellowship of the Ring,1
A Song of Ice and Fire,A Clash of Kings ,2
The Lord of the Rings,The Two Towers,2
A Song of Ice and Fire,A Storm of Swords,3
The Kingkiller Chronicle,The Name of the Wind,1
The Lord of the Rings,The Return of the King,3
A Song of Ice and Fire,A Feast for Crows,4
Chronicles of Narnia,"The Lion, the Witch and the Wardrobe",1
The Inheritance Cycle,Eragon,1
His Dark Materials,The Golden Compass,1
A Song of Ice and Fire,A Dance with Dragons,5
Percy Jackson and the Olympians,The Lightning Thief,1
Mistborn,The Final Empire,1
Twilight,Twilight,1
The Mortal Instruments,City of Bones,1
London Below,Neverwhere,1
Wheel of Time,The Eye of the World,1
The Kingkiller Chronicle,The Wise Man's Fear,2
Throne of Glass,Throne of Glass,1
Graceling Realm,Graceling,1
Discworld,The Color of Magic,1
Rincewind,The Color of Magic,1
His Dark Materials,The Subtle Knife,2
Harry Potter,Harry Potter and the Cursed Child - Parts One and Two,8
Percy Jackson and the Olympians,The Sea of Monsters,2
Gentleman Bastard,The Lies of Locke Lamora,1
Farseer Trilogy,Assassin's Apprentice,1
The Inheritance Cycle,Eldest,2
The Hunger Games,The Hunger Games,1
Chronicles of Narnia,The Magician's Nephew,6
Mistborn,The Well of Ascension,2
Twilight,New Moon,2
His Dark Materials,The Amber Spyglass,3
Earthsea Cycle,A Wizard of Earthsea,1
The Stormlight Archive,The Way of Kings,1
Miss Peregrine's Peculiar Children,Miss Peregrine's Home for Peculiar Children,1
Harry Potter,Harry Potter and the Sorcerer's Stone,1
Harry Potter,Harry Potter and the Chamber of Secrets,2
Harry Potter,Harry Potter and the Prisoner of Azkaban,3
Harry Potter,Harry Potter and the Goblet of Fire,4
Harry Potter,Harry Potter and the Deathly Hallows,7
Harry Potter,Harry Potter and the Half-Blood Prince,6
Harry Potter,Harry Potter and the Order of the Phoenix,5
A Song of Ice and Fire,A Game of Thrones,1
The Lord of the Rings,The Fellowship of the Ring,1
A Song of Ice and Fire,A Clash of Kings ,2
The Lord of the Rings,The Two Towers,2
A Song of Ice and Fire,A Storm of Swords,3
The Kingkiller Chronicle,The Name of the Wind,1
The Lord of the Rings,The Return of the King,3
A Song of Ice and Fire,A Feast for Crows,4
Chronicles of Narnia,"The Lion, the Witch and the Wardrobe",1
The Inheritance Cycle,Eragon,1
His Dark Materials,The Golden Compass,1
A Song of Ice and Fire,A Dance with Dragons,5
Percy Jackson and the Olympians,The Lightning Thief,1
Mistborn,The Final Empire,1
Twilight,Twilight,1
The Mortal Instruments,City of Bones,1
London Below,Neverwhere,1
Wheel of Time,The Eye of the World,1
The Kingkiller Chronicle,The Wise Man's Fear,2
Throne of Glass,Throne of Glass,1
Graceling Realm,Graceling,1
Discworld,The Color of Magic,1
Rincewind,The Color of Magic,1
His Dark Materials,The Subtle Knife,2
Harry Potter,Harry Potter and the Cursed Child - Parts One and Two,8
Percy Jackson and the Olympians,The Sea of Monsters,2
Gentleman Bastard,The Lies of Locke Lamora,1
Farseer Trilogy,Assassin's Apprentice,1
The Inheritance Cycle,Eldest,2
The Hunger Games,The Hunger Games,1
Chronicles of Narnia,The Magician's Nephew,6
Mistborn,The Well of Ascension,2
Twilight,New Moon,2
His Dark Materials,The Amber Spyglass,3
Earthsea Cycle,A Wizard of Earthsea,1
The Stormlight Archive,The Way of Kings,1
Miss Peregrine's Peculiar Children,Miss Peregrine's Home for Peculiar Children,1
Harry Potter,Harry Potter and the Sorcerer's Stone,1
Harry Potter,Harry Potter and the Chamber of Secrets,2
Harry Potter,Harry Potter and the Prisoner of Azkaban,3
Harry Potter,Harry Potter and the Goblet of Fire,4
Harry Potter,Harry Potter and the Deathly Hallows,7
Harry Potter,Harry Potter and the Half-Blood Prince,6
Harry Potter,Harry Potter and the Order of the Phoenix,5
A Song of Ice and Fire,A Game of Thrones,1
The Lord of the Rings,The Fellowship of the Ring,1
A Song of Ice and Fire,A Clash of Kings ,2
The Lord of the Rings,The Two Towers,2
A Song of Ice and Fire,A Storm of Swords,3
The Kingkiller Chronicle,The Name of the Wind,1
The Lord of the Rings,The Return of the King,3
A Song of Ice and Fire,A Feast for Crows,4
Chronicles of Narnia,"The Lion, the Witch and the Wardrobe",1
The Inheritance Cycle,Eragon,1
His Dark Materials,The Golden Compass,1
A Song of Ice and Fire,A Dance with Dragons,5
Percy Jackson and the Olympians,The Lightning Thief,1
Mistborn,The Final Empire,1
Twilight,Twilight,1
The Mortal Instruments,City of Bones,1
London Below,Neverwhere,1
Wheel of Time,The Eye of the World,1
The Kingkiller Chronicle,The Wise Man's Fear,2
Throne of Glass,Throne of Glass,1
Graceling Realm,Graceling,1
Discworld,The Color of Magic,1
Rincewind,The Color of Magic,1
His Dark Materials,The Subtle Knife,2
Harry Potter,Harry Potter and the Cursed Child - Parts One and Two,8
Percy Jackson and the Olympians,The Sea of Monsters,2
Gentleman Bastard,The Lies of Locke Lamora,1
Farseer Trilogy,Assassin's Apprentice,1
The Inheritance Cycle,Eldest,2
The Hunger Games,The Hunger Games,1
Chronicles of Narnia,The Magician's Nephew,6
Mistborn,The Well of Ascension,2
Twilight,New Moon,2
His Dark Materials,The Amber Spyglass,3
Earthsea Cycle,A Wizard of Earthsea,1
The Stormlight Archive,The Way of Kings,1
Miss Peregrine's Peculiar Children,Miss Peregrine's Home for Peculiar Children,1
Harry Potter,Harry Potter and the Sorcerer's Stone,1
Harry Potter,Harry Potter and the Chamber of Secrets,2
Harry Potter,Harry Potter and the Prisoner of Azkaban,3
Harry Potter,Harry Potter and the Goblet of Fire,4
Harry Potter,Harry Potter and the Deathly Hallows,7
Harry Potter,Harry Potter and the Half-Blood Prince,6
Harry Potter,Harry Potter and the Order of the Phoenix,5
A Song of Ice and Fire,A Game of Thrones,1
The Lord of the Rings,The Fellowship of the Ring,1
A Song of Ice and Fire,A Clash of Kings ,2
The Lord of the Rings,The Two Towers,2
A Song of Ice and Fire,A Storm of Swords,3
The Kingkiller Chronicle,The Name of the Wind,1
The Lord of the Rings,The Return of the King,3
A Song of Ice and Fire,A Feast for Crows,4
Chronicles of Narnia,"The Lion, the Witch and the Wardrobe",1
The Inheritance Cycle,Eragon,1
His Dark Materials,The Golden Compass,1
A Song of Ice and Fire,A Dance with Dragons,5
Percy Jackson and the Olympians,The Lightning Thief,1
Mistborn,The Final Empire,1
Twilight,Twilight,1
The Mortal Instruments,City of Bones,1
London Below,Neverwhere,1
Wheel of Time,The Eye of the World,1
The Kingkiller Chronicle,The Wise Man's Fear,2
Throne of Glass,Throne of Glass,1
Graceling Realm,Graceling,1
Discworld,The Color of Magic,1
Rincewind,The Color of Magic,1
His Dark Materials,The Subtle Knife,2
Harry Potter,Harry Potter and the Cursed Child - Parts One and Two,8
Percy Jackson and the Olympians,The Sea of Monsters,2
Gentleman Bastard,The Lies of Locke Lamora,1
Farseer Trilogy,Assassin's Apprentice,1
The Inheritance Cycle,Eldest,2
The Hunger Games,The Hunger Games,1
Chronicles of Narnia,The Magician's Nephew,6
Mistborn,The Well of Ascension,2
Twilight,New Moon,2
His Dark Materials,The Amber Spyglass,3
Earthsea Cycle,A Wizard of Earthsea,1
The Stormlight Archive,The Way of Kings,1
Miss Peregrine's Peculiar Children,Miss Peregrine's Home for Peculiar Children,1
Harry Potter,Harry Potter and the Sorcerer's Stone,1
Harry Potter,Harry Potter and the Chamber of Secrets,2
Harry Potter,Harry Potter and the Prisoner of Azkaban,3
Harry Potter,Harry Potter and the Goblet of Fire,4
Harry Potter,Harry Potter and the Deathly Hallows,7
Harry Potter,Harry Potter and the Half-Blood Prince,6
